gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2609260848	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68173735/original.jpeg	https://www.inaturalist.org/photos/68173735					2018-05-18T21:36:32Z	Taylor Justason		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Taylor Justason
2609237948	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68151061/original.jpg	https://www.inaturalist.org/photos/68151061					2020-04-22T22:15:22Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
2609210933	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67515974/original.jpeg	https://www.inaturalist.org/photos/67515974					2020-04-18T20:41:19Z	Catherine		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Catherine
2609210933	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67515978/original.jpeg	https://www.inaturalist.org/photos/67515978					2020-04-18T20:41:09Z	Catherine		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Catherine
2609119341	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67276260/original.jpeg	https://www.inaturalist.org/photos/67276260					2020-04-17T02:41:15Z	Douglas J. Graham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Douglas J. Graham
2609114405	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67355613/original.jpg	https://www.inaturalist.org/photos/67355613					2020-04-16T17:10:27Z	abodden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	abodden
2603515601	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67252111/original.jpeg	https://www.inaturalist.org/photos/67252111					2020-04-16T20:32:05Z	Kalvin Chan		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Kalvin Chan
2603515601	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67252125/original.jpeg	https://www.inaturalist.org/photos/67252125					2020-04-16T20:31:55Z	Kalvin Chan		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Kalvin Chan
2597817296	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65692383/original.jpg	https://www.inaturalist.org/photos/65692383					2020-04-04T22:18:40Z	Wade Tokarek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wade Tokarek
2597817296	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65692397/original.jpg	https://www.inaturalist.org/photos/65692397					2020-04-04T22:18:40Z	Wade Tokarek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wade Tokarek
2597817296	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65692369/original.jpg	https://www.inaturalist.org/photos/65692369					2020-04-04T22:18:40Z	Wade Tokarek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wade Tokarek
2597737408	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65812922/original.jpg	https://www.inaturalist.org/photos/65812922					2020-04-05T15:51:49Z	Chloe and Trevor Van Loon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chloe and Trevor Van Loon
2597711664	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/65979623/original.jpeg	https://www.inaturalist.org/photos/65979623					2020-04-04T16:17:23Z	Bridget Spencer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bridget Spencer
